wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.80280,0.25463,0.25421,0.25663,0.25486,0.25464,0.25566,0.25491,0.25535,0.25586
1.80939,0.25427,0.25388,0.25601,0.25459,0.25436,0.25543,0.25483,0.25520,0.25529
1.81598,0.25426,0.25368,0.25538,0.25449,0.25428,0.25494,0.25437,0.25479,0.25509
1.82257,0.25408,0.25375,0.25570,0.25455,0.25433,0.25513,0.25450,0.25490,0.25529
1.82916,0.25374,0.25323,0.25554,0.25450,0.25420,0.25513,0.25473,0.25507,0.25517
1.83575,0.25400,0.25334,0.25540,0.25418,0.25369,0.25461,0.25411,0.25455,0.25488
1.84234,0.25373,0.25344,0.25554,0.25425,0.25401,0.25482,0.25418,0.25467,0.25495
1.84893,0.25422,0.25413,0.25613,0.25485,0.25496,0.25560,0.25473,0.25531,0.25562
1.85552,0.25496,0.25408,0.25575,0.25512,0.25470,0.25540,0.25530,0.25577,0.25584
1.86212,0.25430,0.25362,0.25584,0.25456,0.25434,0.25510,0.25461,0.25492,0.25507
1.86871,0.25033,0.24946,0.25180,0.25071,0.25038,0.25110,0.25084,0.25099,0.25111
1.87530,0.24665,0.24616,0.24851,0.24678,0.24677,0.24787,0.24676,0.24735,0.24788
1.88190,0.24768,0.24773,0.24988,0.24852,0.24879,0.24929,0.24868,0.24896,0.24901
1.88849,0.25114,0.25051,0.25263,0.25112,0.25112,0.25208,0.25134,0.25165,0.25230
1.89508,0.25287,0.25231,0.25476,0.25281,0.25291,0.25400,0.25301,0.25347,0.25427
1.90168,0.25437,0.25424,0.25601,0.25446,0.25467,0.25547,0.25452,0.25486,0.25563
1.90827,0.25452,0.25428,0.25650,0.25509,0.25527,0.25626,0.25525,0.25555,0.25624
1.91487,0.25534,0.25493,0.25681,0.25564,0.25560,0.25665,0.25565,0.25589,0.25703
1.92146,0.25590,0.25522,0.25772,0.25582,0.25615,0.25752,0.25642,0.25682,0.25765
1.92806,0.25490,0.25435,0.25658,0.25532,0.25533,0.25615,0.25603,0.25585,0.25663
1.93465,0.24940,0.24889,0.25071,0.24951,0.24976,0.25047,0.25034,0.25027,0.25060
1.94125,0.23328,0.23233,0.23392,0.23326,0.23292,0.23364,0.23359,0.23328,0.23392
1.94785,0.20869,0.20818,0.20941,0.20854,0.20860,0.20936,0.20896,0.20905,0.20961
