wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
2.29795,0.30397,0.30768,0.31068,0.30421,0.30726,0.30997,0.30466,0.30596,0.30982
2.30456,0.30331,0.30730,0.31061,0.30385,0.30659,0.30934,0.30438,0.30548,0.30920
2.31118,0.30287,0.30618,0.30908,0.30321,0.30615,0.30881,0.30301,0.30443,0.30831
2.31779,0.30185,0.30558,0.30910,0.30183,0.30509,0.30839,0.30212,0.30398,0.30808
2.32441,0.30105,0.30490,0.30813,0.30154,0.30516,0.30762,0.30176,0.30383,0.30755
2.33102,0.30148,0.30524,0.30882,0.30204,0.30519,0.30785,0.30226,0.30344,0.30742
2.33764,0.30093,0.30459,0.30807,0.30149,0.30478,0.30768,0.30232,0.30346,0.30766
2.34426,0.30212,0.30527,0.30872,0.30283,0.30561,0.30844,0.30315,0.30427,0.30834
2.35087,0.30198,0.30580,0.30941,0.30281,0.30577,0.30859,0.30295,0.30407,0.30833
2.35749,0.30158,0.30540,0.30889,0.30204,0.30519,0.30777,0.30267,0.30370,0.30746
2.36411,0.30097,0.30479,0.30844,0.30148,0.30492,0.30794,0.30256,0.30364,0.30776
2.37072,0.30137,0.30514,0.30882,0.30216,0.30550,0.30817,0.30279,0.30369,0.30781
2.37734,0.30089,0.30451,0.30813,0.30133,0.30466,0.30739,0.30180,0.30314,0.30746
2.38396,0.30036,0.30409,0.30753,0.30076,0.30408,0.30693,0.30137,0.30230,0.30666
2.39058,0.30072,0.30446,0.30777,0.30110,0.30447,0.30699,0.30185,0.30302,0.30692
2.39720,0.30108,0.30501,0.30860,0.30178,0.30549,0.30803,0.30205,0.30370,0.30768
2.40382,0.30244,0.30570,0.30882,0.30279,0.30585,0.30811,0.30281,0.30419,0.30795
2.41044,0.30227,0.30677,0.31017,0.30263,0.30632,0.30915,0.30334,0.30477,0.30909
2.41706,0.30285,0.30683,0.30966,0.30345,0.30676,0.30908,0.30388,0.30516,0.30904
2.42368,0.30285,0.30676,0.31046,0.30335,0.30626,0.30915,0.30414,0.30517,0.30913
2.43030,0.30290,0.30671,0.31004,0.30283,0.30651,0.30928,0.30379,0.30504,0.30903
2.43692,0.30337,0.30715,0.31050,0.30318,0.30674,0.30978,0.30379,0.30543,0.30972
2.44354,0.30345,0.30730,0.31079,0.30354,0.30716,0.31032,0.30468,0.30572,0.30975
2.45017,0.30375,0.30740,0.31055,0.30361,0.30696,0.30984,0.30454,0.30578,0.30952
2.45679,0.30387,0.30726,0.31052,0.30349,0.30719,0.30999,0.30423,0.30608,0.31004
2.46341,0.30349,0.30691,0.31027,0.30340,0.30671,0.30938,0.30398,0.30536,0.30930
2.47003,0.30269,0.30609,0.30927,0.30259,0.30609,0.30880,0.30305,0.30438,0.30842
2.47666,0.30117,0.30461,0.30726,0.30075,0.30433,0.30704,0.30086,0.30287,0.30666
2.48328,0.29879,0.30231,0.30542,0.29912,0.30234,0.30487,0.29939,0.30092,0.30473
2.48990,0.29907,0.30206,0.30562,0.29888,0.30153,0.30477,0.29960,0.30086,0.30470
2.49653,0.29973,0.30347,0.30666,0.30008,0.30320,0.30593,0.30032,0.30215,0.30548
2.50312,0.29942,0.30284,0.30588,0.29939,0.30263,0.30554,0.29960,0.30176,0.30531
2.50972,0.29745,0.30142,0.30494,0.29810,0.30093,0.30379,0.29912,0.30061,0.30375
2.51632,0.29709,0.30071,0.30417,0.29743,0.30026,0.30340,0.29792,0.29909,0.30264
2.52292,0.29625,0.30024,0.30310,0.29659,0.29913,0.30222,0.29667,0.29786,0.30195
2.52951,0.29506,0.29874,0.30218,0.29525,0.29802,0.30114,0.29577,0.29702,0.30072
2.53611,0.29382,0.29753,0.30109,0.29388,0.29713,0.30013,0.29423,0.29597,0.30007
2.54271,0.29244,0.29549,0.29892,0.29242,0.29509,0.29768,0.29257,0.29425,0.29759
2.54931,0.29132,0.29459,0.29752,0.29149,0.29458,0.29713,0.29176,0.29333,0.29692
2.55591,0.28965,0.29243,0.29573,0.28923,0.29234,0.29524,0.28939,0.29101,0.29479
2.56251,0.28658,0.28927,0.29276,0.28614,0.28928,0.29201,0.28662,0.28819,0.29156
2.56911,0.28468,0.28726,0.29075,0.28415,0.28718,0.29013,0.28402,0.28548,0.28971
